ID	NAME	TRADEDATE	OPEN	HIGH	LOW	CLOSE	VALUE	DURATION	YIELD
IMOEX	MOEX Russia Index	2022-11-07	2176,33	2208,78	2172,34	2208,78	41425843846,95	0	0
IMOEX	MOEX Russia Index	2022-11-08	2213,39	2221,13	2188,22	2207,2	37767596384,3	0	0
IMOEX	MOEX Russia Index	2022-11-09	2201,06	2205,92	2166,42	2166,56	32153634675,1	0	0
IMOEX	MOEX Russia Index	2022-11-10	2167,96	2211,21	2161,57	2210,02	50837891634,05	0	0
IMOEX	MOEX Russia Index	2022-11-11	2221,68	2224,97	2204,33	2217,44	35129623599,9	0	0
IMOEX	MOEX Russia Index	2022-11-14	2230,8	2245,9	2221,31	2244,77	39642803675,8	0	0
IMOEX	MOEX Russia Index	2022-11-15	2249,22	2254,94	2211,19	2223,26	36552526475,9	0	0
IMOEX	MOEX Russia Index	2022-11-16	2199,1	2232,83	2191,95	2227,19	29153605996,45	0	0
IMOEX	MOEX Russia Index	2022-11-17	2227,54	2235,76	2200,11	2212,93	24154127523,05	0	0
IMOEX	MOEX Russia Index	2022-11-18	2208,39	2211,7	2189,93	2206,32	19150662557,8	0	0
IMOEX	MOEX Russia Index	2022-11-21	2204,9	2204,9	2161,35	2166,31	28464891091,05	0	0
IMOEX	MOEX Russia Index	2022-11-22	2179,76	2200,06	2169,62	2196,04	21690712689	0	0
IMOEX	MOEX Russia Index	2022-11-23	2196,24	2217,4	2180,64	2211,89	32870895270,55	0	0
IMOEX	MOEX Russia Index	2022-11-24	2214,14	2225,92	2206,12	2210,95	20472685548,4	0	0
IMOEX	MOEX Russia Index	2022-11-25	2209,31	2211,1	2190,67	2195,17	18973705982,5	0	0
IMOEX	MOEX Russia Index	2022-11-28	2180,32	2182,16	2163,44	2177,45	25255954654,45	0	0
IMOEX	MOEX Russia Index	2022-11-29	2180,65	2191,44	2178,34	2185,32	21033978164,9	0	0
IMOEX	MOEX Russia Index	2022-11-30	2184,27	2184,27	2172,67	2174,53	15628414954,25	0	0
IMOEX	MOEX Russia Index	2022-12-01	2189,65	2193,41	2183,57	2187,29	20487790535	0	0
IMOEX	MOEX Russia Index	2022-12-02	2189,19	2189,35	2173,48	2180,44	22206009036,85	0	0
IMOEX	MOEX Russia Index	2022-12-05	2179,79	2210,7	2174,17	2208,28	36556414504,95	0	0
IMOEX	MOEX Russia Index	2022-12-06	2204,51	2208,36	2184,65	2196,24	22011415280,2	0	0
IMOEX	MOEX Russia Index	2022-12-07	2185,01	2193,71	2166,77	2192,88	27417051222,95	0	0
IMOEX	MOEX Russia Index	2022-12-08	2196,17	2197,77	2174,57	2184,43	22523116709,55	0	0
IMOEX	MOEX Russia Index	2022-12-09	2178,93	2183,97	2169,04	2177,85	16733074100,55	0	0
IMOEX	MOEX Russia Index	2022-12-12	2178,33	2185,49	2163,33	2173,16	19308247875,05	0	0
IMOEX	MOEX Russia Index	2022-12-13	2175,29	2177,95	2154,52	2174,38	24793682504,95	0	0
IMOEX	MOEX Russia Index	2022-12-14	2171,12	2171,31	2154,65	2159,81	20963085762,75	0	0
IMOEX	MOEX Russia Index	2022-12-15	2151,69	2151,69	2115,21	2126,8	30466746003,55	0	0
IMOEX	MOEX Russia Index	2022-12-16	2118,43	2135,79	2116,08	2132,75	19713454690,15	0	0
IMOEX	MOEX Russia Index	2022-12-19	2131,33	2139,07	2109,56	2129,98	30518978665,2	0	0
IMOEX	MOEX Russia Index	2022-12-20	2071,1	2119,37	2070,58	2119,37	34192361634,1	0	0
IMOEX	MOEX Russia Index	2022-12-21	2135,41	2139,49	2102,24	2116,13	30181774160,05	0	0
IMOEX	MOEX Russia Index	2022-12-22	2124,37	2134,48	2114,91	2122,91	22386857843,15	0	0
IMOEX	MOEX Russia Index	2022-12-23	2121,99	2128,27	2110,59	2124,02	17531982626,35	0	0
IMOEX	MOEX Russia Index	2022-12-26	2126,4	2139,78	2126,4	2139,21	21299933246,1	0	0
IMOEX	MOEX Russia Index	2022-12-27	2142,08	2154,35	2138,11	2150,92	21591490276,15	0	0
IMOEX	MOEX Russia Index	2022-12-28	2150,12	2152,47	2136,68	2139,77	18811163578,05	0	0
IMOEX	MOEX Russia Index	2022-12-29	2135,91	2149,94	2134,48	2147,06	15793852418,55	0	0
IMOEX	MOEX Russia Index	2022-12-30	2149,83	2154,47	2139,79	2154,12	16664943291,65	0	0
